 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1  839  0.5500  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1      12      3.70175809E-04  1.14872226E+00  2.31814688E+00  3.59380727E+00  5.50000000E-01  1.43740000E-10  7.11659641E-01  5.57771304E+54  5.57771304E+54  1.18344648E+07  0.00000000E+00  3.70446393E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  5.07028423E+49  0.00000000E+00  0.00000000E+00  9.39828835E-01  6.56267107E+00  2.31450003E-12
   1      13      3.75671619E-04  1.14494435E+00  2.31490046E+00  3.59375392E+00  5.50000000E-01  1.43740000E-10  7.11659562E-01  5.56249414E+54  5.56249414E+54  1.17952844E+07  0.00000000E+00  3.71098706E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  5.05644986E+49  0.00000000E+00  0.00000000E+00  9.40016030E-01  6.56844658E+00  2.30688812E-12
   1      14      3.81451342E-04  1.14110368E+00  2.31159360E+00  3.59369952E+00  5.50000000E-01  1.43740000E-10  7.11659478E-01  5.54701216E+54  5.54701216E+54  1.17560134E+07  0.00000000E+00  3.71766643E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  5.04237635E+49  0.00000000E+00  0.00000000E+00  9.40206557E-01  6.57435517E+00  2.29914974E-12
   1      15      3.87552179E-04  1.13718984E+00  2.30821687E+00  3.59364392E+00  5.50000000E-01  1.43740000E-10  7.11659387E-01  5.53122412E+54  5.53122412E+54  1.17166628E+07  0.00000000E+00  3.72452377E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  5.02802461E+49  0.00000000E+00  0.00000000E+00  9.40400950E-01  6.58041566E+00  2.29126396E-12
   1      16      3.94019322E-04  1.13319041E+00  2.30475901E+00  3.59358695E+00  5.50000000E-01  1.43740000E-10  7.11659290E-01  5.51507910E+54  5.51507910E+54  1.16772366E+07  0.00000000E+00  3.73158450E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  5.01334838E+49  0.00000000E+00  0.00000000E+00  9.40599843E-01  6.58665009E+00  2.28320571E-12
   1      17      4.00909731E-04  1.12908916E+00  2.30120567E+00  3.59352833E+00  5.50000000E-01  1.43740000E-10  7.11659186E-01  5.49851147E+54  5.49851147E+54  1.16377052E+07  0.00000000E+00  3.73888080E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.99828797E+49  0.00000000E+00  0.00000000E+00  9.40804048E-01  6.59308633E+00  2.27494233E-12
   1      18      4.08295341E-04  1.12486636E+00  2.29753836E+00  3.59346783E+00  5.50000000E-01  1.43740000E-10  7.11659072E-01  5.48143707E+54  5.48143707E+54  1.15980554E+07  0.00000000E+00  3.74645577E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.98276691E+49  0.00000000E+00  0.00000000E+00  9.41014611E-01  6.59976174E+00  2.26643402E-12
   1      19      4.16267550E-04  1.12049619E+00  2.29373399E+00  3.59340506E+00  5.50000000E-01  1.43740000E-10  7.11658948E-01  5.46375114E+54  5.46375114E+54  1.15582967E+07  0.00000000E+00  3.75436169E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.96668994E+49  0.00000000E+00  0.00000000E+00  9.41232835E-01  6.60672161E+00  2.25762880E-12
   1      20      4.24948608E-04  1.11594345E+00  2.28976131E+00  3.59333943E+00  5.50000000E-01  1.43740000E-10  7.11658811E-01  5.44531175E+54  5.44531175E+54  1.15183775E+07  0.00000000E+00  3.76266887E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.94992806E+49  0.00000000E+00  0.00000000E+00  9.41460486E-01  6.61402683E+00  2.24845573E-12
   1      21      4.34505575E-04  1.11116855E+00  2.28557744E+00  3.59327100E+00  5.50000000E-01  1.43740000E-10  7.11658658E-01  5.42592436E+54  5.42592436E+54  1.14782930E+07  0.00000000E+00  3.77148591E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.93230443E+49  0.00000000E+00  0.00000000E+00  9.41699985E-01  6.62177161E+00  2.23883503E-12
