 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1495  1.3500  1.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1      12      1.42186769E-04  9.95548135E+00  4.94992540E+00  3.66354022E+00  1.35000000E+00  1.43740000E-10  7.11660130E-01  6.25668328E+55  6.25668328E+55  1.60040575E+07  0.00000000E+00  1.25835886E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.54998848E+51  0.00000000E+00  0.00000000E+00  5.60385229E-01  3.58968142E+00  1.76675291E-11
   1      13      1.43100696E-04  9.92968515E+00  4.94258275E+00  3.66358088E+00  1.35000000E+00  1.43740000E-10  7.11660116E-01  6.23849544E+55  6.23849544E+55  1.59612258E+07  0.00000000E+00  1.26217313E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.53676191E+51  0.00000000E+00  0.00000000E+00  5.60658396E-01  3.59511773E+00  1.76217498E-11
   1      14      1.44016387E-04  9.90414833E+00  4.93530215E+00  3.66362140E+00  1.35000000E+00  1.43740000E-10  7.11660102E-01  6.22048642E+55  6.22048642E+55  1.59183095E+07  0.00000000E+00  1.26596871E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.52366538E+51  0.00000000E+00  0.00000000E+00  5.60929780E-01  3.60051925E+00  1.75764308E-11
   1      15      1.44934055E-04  9.87886374E+00  4.92808160E+00  3.66366179E+00  1.35000000E+00  1.43740000E-10  7.11660087E-01  6.20265074E+55  6.20265074E+55  1.58752970E+07  0.00000000E+00  1.26974622E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.51069491E+51  0.00000000E+00  0.00000000E+00  5.61199445E-01  3.60588704E+00  1.75315594E-11
   1      16      1.45853967E-04  9.85382085E+00  4.92091935E+00  3.66370203E+00  1.35000000E+00  1.43740000E-10  7.11660072E-01  6.18498324E+55  6.18498324E+55  1.58322099E+07  0.00000000E+00  1.27350681E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.49784674E+51  0.00000000E+00  0.00000000E+00  5.61467446E-01  3.61122283E+00  1.74871170E-11
   1      17      1.46776506E-04  9.82900957E+00  4.91381223E+00  3.66374215E+00  1.35000000E+00  1.43740000E-10  7.11660056E-01  6.16747558E+55  6.16747558E+55  1.57890205E+07  0.00000000E+00  1.27725161E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.48511481E+51  0.00000000E+00  0.00000000E+00  5.61733890E-01  3.61652842E+00  1.74430856E-11
   1      18      1.47701914E-04  9.80442327E+00  4.90675825E+00  3.66378217E+00  1.35000000E+00  1.43740000E-10  7.11660040E-01  6.15012232E+55  6.15012232E+55  1.57457580E+07  0.00000000E+00  1.28098127E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.47249516E+51  0.00000000E+00  0.00000000E+00  5.61998843E-01  3.62180482E+00  1.73994534E-11
   1      19      1.48630440E-04  9.78005234E+00  4.89975601E+00  3.66382205E+00  1.35000000E+00  1.43740000E-10  7.11660024E-01  6.13291948E+55  6.13291948E+55  1.57023911E+07  0.00000000E+00  1.28469682E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.45998490E+51  0.00000000E+00  0.00000000E+00  5.62262347E-01  3.62705363E+00  1.73562034E-11
   1      20      1.49562474E-04  9.75588946E+00  4.89280237E+00  3.66386187E+00  1.35000000E+00  1.43740000E-10  7.11660008E-01  6.11585894E+55  6.11585894E+55  1.56589558E+07  0.00000000E+00  1.28839912E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.44757813E+51  0.00000000E+00  0.00000000E+00  5.62524512E-01  3.63227618E+00  1.73133227E-11
   1      21      1.50498219E-04  9.73192683E+00  4.88589646E+00  3.66390156E+00  1.35000000E+00  1.43740000E-10  7.11659991E-01  6.09893799E+55  6.09893799E+55  1.56154221E+07  0.00000000E+00  1.29208897E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.43527287E+51  0.00000000E+00  0.00000000E+00  5.62785362E-01  3.63747370E+00  1.72707973E-11
   1      22      1.51438075E-04  9.70815731E+00  4.87903542E+00  3.66394120E+00  1.35000000E+00  1.43740000E-10  7.11659974E-01  6.08214926E+55  6.08214926E+55  1.55718230E+07  0.00000000E+00  1.29576722E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.42306376E+51  0.00000000E+00  0.00000000E+00  5.63044996E-01  3.64264751E+00  1.72286147E-11
   1      23      1.52382315E-04  9.68457563E+00  4.87221756E+00  3.66398080E+00  1.35000000E+00  1.43740000E-10  7.11659956E-01  6.06548812E+55  6.06548812E+55  1.55281204E+07  0.00000000E+00  1.29943440E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.41094743E+51  0.00000000E+00  0.00000000E+00  5.63303471E-01  3.64779843E+00  1.71867654E-11
   1      24      1.53331184E-04  9.66117200E+00  4.86544190E+00  3.66402029E+00  1.35000000E+00  1.43740000E-10  7.11659938E-01  6.04895179E+55  6.04895179E+55  1.54843522E+07  0.00000000E+00  1.30309167E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.39892188E+51  0.00000000E+00  0.00000000E+00  5.63560817E-01  3.65292821E+00  1.71452320E-11
   1      25      1.54285132E-04  9.63793955E+00  4.85870516E+00  3.66405976E+00  1.35000000E+00  1.43740000E-10  7.11659920E-01  6.03253221E+55  6.03253221E+55  1.54405016E+07  0.00000000E+00  1.30673989E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.38698122E+51  0.00000000E+00  0.00000000E+00  5.63817151E-01  3.65803812E+00  1.71040025E-11
   1      26      1.55244347E-04  9.61487156E+00  4.85200727E+00  3.66409913E+00  1.35000000E+00  1.43740000E-10  7.11659901E-01  6.01622831E+55  6.01622831E+55  1.53965648E+07  0.00000000E+00  1.31037983E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.37512469E+51  0.00000000E+00  0.00000000E+00  5.64072470E-01  3.66312933E+00  1.70630648E-11
   1      27      1.56209297E-04  9.59195943E+00  4.84534529E+00  3.66413845E+00  1.35000000E+00  1.43740000E-10  7.11659882E-01  6.00003286E+55  6.00003286E+55  1.53525681E+07  0.00000000E+00  1.31401260E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.36334703E+51  0.00000000E+00  0.00000000E+00  5.64326879E-01  3.66820347E+00  1.70224037E-11
   1      28      1.57180277E-04  9.56919803E+00  4.83871772E+00  3.66417773E+00  1.35000000E+00  1.43740000E-10  7.11659862E-01  5.98394197E+55  5.98394197E+55  1.53084731E+07  0.00000000E+00  1.31763879E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.35164540E+51  0.00000000E+00  0.00000000E+00  5.64580429E-01  3.67326142E+00  1.69820101E-11
   1      29      1.58157583E-04  9.54658461E+00  4.83212371E+00  3.66421697E+00  1.35000000E+00  1.43740000E-10  7.11659842E-01  5.96795305E+55  5.96795305E+55  1.52643193E+07  0.00000000E+00  1.32125864E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.34001793E+51  0.00000000E+00  0.00000000E+00  5.64833148E-01  3.67830360E+00  1.69418791E-11
   1      30      1.59141663E-04  9.52411286E+00  4.82556073E+00  3.66425622E+00  1.35000000E+00  1.43740000E-10  7.11659821E-01  5.95205978E+55  5.95205978E+55  1.52200878E+07  0.00000000E+00  1.32487306E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.32846002E+51  0.00000000E+00  0.00000000E+00  5.65085127E-01  3.68333133E+00  1.69019996E-11
   1      31      1.60132801E-04  9.50177626E+00  4.81902821E+00  3.66429545E+00  1.35000000E+00  1.43740000E-10  7.11659800E-01  5.93626032E+55  5.93626032E+55  1.51757747E+07  0.00000000E+00  1.32848278E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.31697033E+51  0.00000000E+00  0.00000000E+00  5.65336383E-01  3.68834568E+00  1.68623598E-11
   1      32      1.61131477E-04  9.47956727E+00  4.81252373E+00  3.66433467E+00  1.35000000E+00  1.43740000E-10  7.11659779E-01  5.92054865E+55  5.92054865E+55  1.51314093E+07  0.00000000E+00  1.33208887E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.30554448E+51  0.00000000E+00  0.00000000E+00  5.65587006E-01  3.69334819E+00  1.68229466E-11
   1      33      1.62138053E-04  9.45746725E+00  4.80604589E+00  3.66437374E+00  1.35000000E+00  1.43740000E-10  7.11659756E-01  5.90492116E+55  5.90492116E+55  1.50869535E+07  0.00000000E+00  1.33569395E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.29417985E+51  0.00000000E+00  0.00000000E+00  5.65837043E-01  3.69834253E+00  1.67837267E-11
   1      34      1.63152918E-04  9.43529006E+00  4.79959379E+00  3.66441056E+00  1.35000000E+00  1.43740000E-10  7.11659734E-01  5.88937555E+55  5.88937555E+55  1.50425032E+07  0.00000000E+00  1.33932461E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.28287476E+51  0.00000000E+00  0.00000000E+00  5.66086527E-01  3.70336551E+00  1.67443699E-11
   1      35      1.64177131E-04  9.41321480E+00  4.79316174E+00  3.66444743E+00  1.35000000E+00  1.43740000E-10  7.11659710E-01  5.87389772E+55  5.87389772E+55  1.49979653E+07  0.00000000E+00  1.34295552E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.27161896E+51  0.00000000E+00  0.00000000E+00  5.66335673E-01  3.70838203E+00  1.67051939E-11
   1      36      1.65210504E-04  9.39124724E+00  4.78675255E+00  3.66448431E+00  1.35000000E+00  1.43740000E-10  7.11659687E-01  5.85849437E+55  5.85849437E+55  1.49533483E+07  0.00000000E+00  1.34658558E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.26041733E+51  0.00000000E+00  0.00000000E+00  5.66584371E-01  3.71339059E+00  1.66662091E-11
   1      37      1.66253633E-04  9.36938364E+00  4.78036359E+00  3.66452127E+00  1.35000000E+00  1.43740000E-10  7.11659662E-01  5.84315893E+55  5.84315893E+55  1.49086673E+07  0.00000000E+00  1.35021541E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.24926509E+51  0.00000000E+00  0.00000000E+00  5.66832718E-01  3.71839209E+00  1.66274088E-11
   1      38      1.67306883E-04  9.34761703E+00  4.77399445E+00  3.66455826E+00  1.35000000E+00  1.43740000E-10  7.11659637E-01  5.82789024E+55  5.82789024E+55  1.48639375E+07  0.00000000E+00  1.35384592E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.23816138E+51  0.00000000E+00  0.00000000E+00  5.67080728E-01  3.72338781E+00  1.65887806E-11
   1      39      1.68370885E-04  9.32594069E+00  4.76764251E+00  3.66459531E+00  1.35000000E+00  1.43740000E-10  7.11659611E-01  5.81268192E+55  5.81268192E+55  1.48191207E+07  0.00000000E+00  1.35747822E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.22710158E+51  0.00000000E+00  0.00000000E+00  5.67328501E-01  3.72837929E+00  1.65503126E-11
   1      40      1.69446065E-04  9.30434775E+00  4.76130718E+00  3.66463237E+00  1.35000000E+00  1.43740000E-10  7.11659585E-01  5.79753243E+55  5.79753243E+55  1.47742487E+07  0.00000000E+00  1.36111324E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.21608456E+51  0.00000000E+00  0.00000000E+00  5.67576057E-01  3.73336784E+00  1.65119927E-11
   1      41      1.70533114E-04  9.28283064E+00  4.75498568E+00  3.66466948E+00  1.35000000E+00  1.43740000E-10  7.11659557E-01  5.78243535E+55  5.78243535E+55  1.47293187E+07  0.00000000E+00  1.36475222E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.20510565E+51  0.00000000E+00  0.00000000E+00  5.67823503E-01  3.73835515E+00  1.64738072E-11
   1      42      1.71632500E-04  9.26138853E+00  4.74867787E+00  3.66470666E+00  1.35000000E+00  1.43740000E-10  7.11659529E-01  5.76738944E+55  5.76738944E+55  1.46843325E+07  0.00000000E+00  1.36839529E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.19416396E+51  0.00000000E+00  0.00000000E+00  5.68070844E-01  3.74334140E+00  1.64357549E-11
   1      43      1.72744991E-04  9.24001385E+00  4.74238079E+00  3.66474393E+00  1.35000000E+00  1.43740000E-10  7.11659501E-01  5.75238796E+55  5.75238796E+55  1.46392721E+07  0.00000000E+00  1.37204372E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.18325457E+51  0.00000000E+00  0.00000000E+00  5.68318194E-01  3.74832835E+00  1.63978223E-11
   1      44      1.73871104E-04  9.21870401E+00  4.73609397E+00  3.66478130E+00  1.35000000E+00  1.43740000E-10  7.11659471E-01  5.73742949E+55  5.73742949E+55  1.45941625E+07  0.00000000E+00  1.37569789E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.17237647E+51  0.00000000E+00  0.00000000E+00  5.68565570E-01  3.75331649E+00  1.63600047E-11
   1      45      1.75011661E-04  9.19745314E+00  4.72981471E+00  3.66481882E+00  1.35000000E+00  1.43740000E-10  7.11659441E-01  5.72250757E+55  5.72250757E+55  1.45489939E+07  0.00000000E+00  1.37935890E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.16152494E+51  0.00000000E+00  0.00000000E+00  5.68813079E-01  3.75830734E+00  1.63222918E-11
   1      46      1.76167269E-04  9.17625433E+00  4.72354228E+00  3.66485644E+00  1.35000000E+00  1.43740000E-10  7.11659410E-01  5.70762051E+55  5.70762051E+55  1.45037684E+07  0.00000000E+00  1.38302777E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.15069876E+51  0.00000000E+00  0.00000000E+00  5.69060749E-01  3.76330227E+00  1.62846712E-11
   1      47      1.77338866E-04  9.15492935E+00  4.71727281E+00  3.66489224E+00  1.35000000E+00  1.43740000E-10  7.11659377E-01  5.69276173E+55  5.69276173E+55  1.44585248E+07  0.00000000E+00  1.38673099E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.13989316E+51  0.00000000E+00  0.00000000E+00  5.69308733E-01  3.76833724E+00  1.62468268E-11
   1      48      1.78527626E-04  9.13350900E+00  4.71100336E+00  3.66492669E+00  1.35000000E+00  1.43740000E-10  7.11659344E-01  5.67792367E+55  5.67792367E+55  1.44132523E+07  0.00000000E+00  1.39046445E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.12910261E+51  0.00000000E+00  0.00000000E+00  5.69557149E-01  3.77340654E+00  1.62088131E-11
   1      49      1.79734510E-04  9.11211487E+00  4.70473229E+00  3.66496132E+00  1.35000000E+00  1.43740000E-10  7.11659310E-01  5.66310041E+55  5.66310041E+55  1.43679098E+07  0.00000000E+00  1.39421063E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.11832283E+51  0.00000000E+00  0.00000000E+00  5.69806062E-01  3.77848626E+00  1.61708459E-11
   1      50      1.80960006E-04  9.09074519E+00  4.69846038E+00  3.66499607E+00  1.35000000E+00  1.43740000E-10  7.11659275E-01  5.64829379E+55  5.64829379E+55  1.43225206E+07  0.00000000E+00  1.39796974E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.10755516E+51  0.00000000E+00  0.00000000E+00  5.70055444E-01  3.78357666E+00  1.61329221E-11
