 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1  839  0.5500  1.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      3.22983110E-04  1.18670373E+00  2.35077709E+00  3.59430384E+00  5.50000000E-01  1.43740000E-10  7.11660273E-01  5.73181598E+54  5.73181598E+54  1.23253051E+07  0.00000000E+00  3.64012242E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.16829421E+50  0.00000000E+00  0.00000000E+00  6.48067343E-01  6.10536521E+00  2.10598785E-12
   1       2      3.26777040E-04  1.18318116E+00  2.34778755E+00  3.59425740E+00  5.50000000E-01  1.43740000E-10  7.11660226E-01  5.71759268E+54  5.71759268E+54  1.22132994E+07  0.00000000E+00  3.64586472E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.15795073E+50  0.00000000E+00  0.00000000E+00  6.48334258E-01  6.11017892E+00  2.09973650E-12
   1       3      3.29695448E-04  1.18052641E+00  2.34553539E+00  3.59422192E+00  5.50000000E-01  1.43740000E-10  7.11660189E-01  5.70690466E+54  5.70690466E+54  1.21836131E+07  0.00000000E+00  3.65020050E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.15017818E+50  0.00000000E+00  0.00000000E+00  6.48535624E-01  6.11381105E+00  2.09502525E-12
   1       4      3.33489379E-04  1.17715827E+00  2.34268021E+00  3.59417619E+00  5.50000000E-01  1.43740000E-10  7.11660141E-01  5.69337080E+54  5.69337080E+54  1.21461841E+07  0.00000000E+00  3.65570767E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.14033608E+50  0.00000000E+00  0.00000000E+00  6.48791256E-01  6.11842136E+00  2.08904796E-12
   1       5      3.37529696E-04  1.17366192E+00  2.33971112E+00  3.59412862E+00  5.50000000E-01  1.43740000E-10  7.11660088E-01  5.67931294E+54  5.67931294E+54  1.21074375E+07  0.00000000E+00  3.66146098E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.13011292E+50  0.00000000E+00  0.00000000E+00  6.49057505E-01  6.12323401E+00  2.08284315E-12
   1       6      3.41699817E-04  1.17014716E+00  2.33672085E+00  3.59408069E+00  5.50000000E-01  1.43740000E-10  7.11660034E-01  5.66517123E+54  5.66517123E+54  1.20686408E+07  0.00000000E+00  3.66728329E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.11982878E+50  0.00000000E+00  0.00000000E+00  6.49326087E-01  6.12810055E+00  2.07660567E-12
   1       7      3.46011045E-04  1.16661023E+00  2.33370639E+00  3.59403232E+00  5.50000000E-01  1.43740000E-10  7.11659976E-01  5.65093215E+54  5.65093215E+54  1.20297961E+07  0.00000000E+00  3.67318050E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.10947383E+50  0.00000000E+00  0.00000000E+00  6.49597280E-01  6.13302574E+00  2.07032884E-12
   1       8      3.50476203E-04  1.16304739E+00  2.33066439E+00  3.59398347E+00  5.50000000E-01  1.43740000E-10  7.11659916E-01  5.63658019E+54  5.63658019E+54  1.19909003E+07  0.00000000E+00  3.67916013E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.09903679E+50  0.00000000E+00  0.00000000E+00  6.49871401E-01  6.13801573E+00  2.06400604E-12
   1       9      3.55109603E-04  1.15953238E+00  2.32759044E+00  3.59394142E+00  5.50000000E-01  1.43740000E-10  7.11659853E-01  5.62209684E+54  5.62209684E+54  1.19518411E+07  0.00000000E+00  3.68534916E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.08850420E+50  0.00000000E+00  0.00000000E+00  6.50148860E-01  6.14317620E+00  2.05776812E-12
   1      10      3.59922728E-04  1.15600076E+00  2.32448380E+00  3.59390025E+00  5.50000000E-01  1.43740000E-10  7.11659786E-01  5.60747736E+54  5.60747736E+54  1.19127254E+07  0.00000000E+00  3.69165391E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.07787261E+50  0.00000000E+00  0.00000000E+00  6.50429742E-01  6.14842872E+00  2.05150072E-12
   1      11      3.64937175E-04  1.15243123E+00  2.32133787E+00  3.59385856E+00  5.50000000E-01  1.43740000E-10  7.11659716E-01  5.59269131E+54  5.59269131E+54  1.18735602E+07  0.00000000E+00  3.69806772E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.06711989E+50  0.00000000E+00  0.00000000E+00  6.50714658E-01  6.15376748E+00  2.04516603E-12
   1      12      3.70175809E-04  1.14872226E+00  2.31814688E+00  3.59380727E+00  5.50000000E-01  1.43740000E-10  7.11659641E-01  5.57771304E+54  5.57771304E+54  1.18344648E+07  0.00000000E+00  3.70446393E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.05622739E+50  0.00000000E+00  0.00000000E+00  6.51004155E-01  6.15908698E+00  2.03858390E-12
   1      13      3.75671619E-04  1.14494435E+00  2.31490046E+00  3.59375392E+00  5.50000000E-01  1.43740000E-10  7.11659562E-01  5.56249414E+54  5.56249414E+54  1.17952844E+07  0.00000000E+00  3.71098706E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.04515989E+50  0.00000000E+00  0.00000000E+00  6.51299197E-01  6.16450732E+00  2.03187942E-12
   1      14      3.81451342E-04  1.14110368E+00  2.31159360E+00  3.59369952E+00  5.50000000E-01  1.43740000E-10  7.11659478E-01  5.54701216E+54  5.54701216E+54  1.17560134E+07  0.00000000E+00  3.71766643E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.03390108E+50  0.00000000E+00  0.00000000E+00  6.51600269E-01  6.17005254E+00  2.02506355E-12
   1      15      3.87552179E-04  1.13718984E+00  2.30821687E+00  3.59364392E+00  5.50000000E-01  1.43740000E-10  7.11659387E-01  5.53122412E+54  5.53122412E+54  1.17166628E+07  0.00000000E+00  3.72452377E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.02241969E+50  0.00000000E+00  0.00000000E+00  6.51908265E-01  6.17574033E+00  2.01811786E-12
   1      16      3.94019322E-04  1.13319041E+00  2.30475901E+00  3.59358695E+00  5.50000000E-01  1.43740000E-10  7.11659290E-01  5.51507910E+54  5.51507910E+54  1.16772366E+07  0.00000000E+00  3.73158450E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.01067870E+50  0.00000000E+00  0.00000000E+00  6.52224250E-01  6.18159136E+00  2.01102025E-12
   1      17      4.00909731E-04  1.12908916E+00  2.30120567E+00  3.59352833E+00  5.50000000E-01  1.43740000E-10  7.11659186E-01  5.49851147E+54  5.49851147E+54  1.16377052E+07  0.00000000E+00  3.73888080E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.99863038E+50  0.00000000E+00  0.00000000E+00  6.52549583E-01  6.18763179E+00  2.00374196E-12
   1      18      4.08295341E-04  1.12486636E+00  2.29753836E+00  3.59346783E+00  5.50000000E-01  1.43740000E-10  7.11659072E-01  5.48143707E+54  5.48143707E+54  1.15980554E+07  0.00000000E+00  3.74645577E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.98621353E+50  0.00000000E+00  0.00000000E+00  6.52886018E-01  6.19389669E+00  1.99624794E-12
   1      19      4.16267550E-04  1.12049619E+00  2.29373399E+00  3.59340506E+00  5.50000000E-01  1.43740000E-10  7.11658948E-01  5.46375114E+54  5.46375114E+54  1.15582967E+07  0.00000000E+00  3.75436169E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.97335195E+50  0.00000000E+00  0.00000000E+00  6.53235741E-01  6.20042855E+00  1.98849241E-12
   1      20      4.24948608E-04  1.11594345E+00  2.28976131E+00  3.59333943E+00  5.50000000E-01  1.43740000E-10  7.11658811E-01  5.44531175E+54  5.44531175E+54  1.15183775E+07  0.00000000E+00  3.76266887E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.95994245E+50  0.00000000E+00  0.00000000E+00  6.53601719E-01  6.20728452E+00  1.98041288E-12
   1      21      4.34505575E-04  1.11116855E+00  2.28557744E+00  3.59327100E+00  5.50000000E-01  1.43740000E-10  7.11658658E-01  5.42592436E+54  5.42592436E+54  1.14782930E+07  0.00000000E+00  3.77148591E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.94584354E+50  0.00000000E+00  0.00000000E+00  6.53988018E-01  6.21455302E+00  1.97193908E-12
   1      22      4.45175130E-04  1.10610218E+00  2.28112150E+00  3.59319859E+00  5.50000000E-01  1.43740000E-10  7.11658486E-01  5.40531286E+54  5.40531286E+54  1.14379969E+07  0.00000000E+00  3.78094874E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.93085444E+50  0.00000000E+00  0.00000000E+00  6.54400418E-01  6.22234443E+00  1.96294803E-12
   1      23      4.57313376E-04  1.10063849E+00  2.27630218E+00  3.59312020E+00  5.50000000E-01  1.43740000E-10  7.11658287E-01  5.38306219E+54  5.38306219E+54  1.13974769E+07  0.00000000E+00  3.79125922E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.91467329E+50  0.00000000E+00  0.00000000E+00  6.54847593E-01  6.23082268E+00  1.95325188E-12
   1      24      4.71498681E-04  1.09461505E+00  2.27096957E+00  3.59303368E+00  5.50000000E-01  1.43740000E-10  7.11658052E-01  5.35849219E+54  5.35849219E+54  1.13566708E+07  0.00000000E+00  3.80276467E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.89680549E+50  0.00000000E+00  0.00000000E+00  6.55343787E-01  6.24026995E+00  1.94256236E-12
   1      25      4.88758966E-04  1.08773289E+00  2.26485943E+00  3.59293392E+00  5.50000000E-01  1.43740000E-10  7.11657762E-01  5.33040583E+54  5.33040583E+54  1.13156036E+07  0.00000000E+00  3.81606137E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.87638051E+50  0.00000000E+00  0.00000000E+00  6.55914134E-01  6.25117025E+00  1.93034890E-12
   1      26      5.11197338E-04  1.07940323E+00  2.25743067E+00  3.59281270E+00  5.50000000E-01  1.43740000E-10  7.11657382E-01  5.29635274E+54  5.29635274E+54  1.12744610E+07  0.00000000E+00  3.83240590E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.85161640E+50  0.00000000E+00  0.00000000E+00  6.56610181E-01  6.26454311E+00  1.91556664E-12
   1      27      5.40367222E-04  1.06935618E+00  2.24842424E+00  3.59266545E+00  5.50000000E-01  1.43740000E-10  7.11656883E-01  5.25520706E+54  5.25520706E+54  1.12379436E+07  0.00000000E+00  3.85248175E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.82169442E+50  0.00000000E+00  0.00000000E+00  6.57457921E-01  6.28092991E+00  1.89773661E-12
   1      28      5.76111548E-04  1.05785401E+00  2.23805023E+00  3.59249550E+00  5.50000000E-01  1.43740000E-10  7.11656268E-01  5.20800249E+54  5.20800249E+54  1.12134817E+07  0.00000000E+00  3.87596494E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.78736629E+50  0.00000000E+00  0.00000000E+00  6.58439689E-01  6.30004385E+00  1.87732425E-12
   1      29      6.13959438E-04  1.04616771E+00  2.22751726E+00  3.59231377E+00  5.50000000E-01  1.43740000E-10  7.11655618E-01  5.16028493E+54  5.16028493E+54  1.12062318E+07  0.00000000E+00  3.90010662E+04  5.50000000E-01  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  3.75266510E+50  0.00000000E+00  0.00000000E+00  6.59442363E-01  6.31963350E+00  1.85658512E-12
