Step,Shls,Age_gyr,LogL_lsun,LogR_rsun,Log_g,log_Teff,Mco_core,Mco_env,Rco_env,Tco_env,Dco_env,Pco_env,Oco_env,LogT_cen,LogD_cen,logP_cen,Beta_cen,Eta_cen,X_cen,Y_cen,Z_cen,ppI_lsun,ppII_lsun,ppIII_lsun,CNO_lsun,3a_lsun,HeC_lsun,Egrav_lsun,Neut_lsun,Cl_snu,Ga_snu,pp_neut,pep_neut,hep_neut,Be7_neut,B8_neut,N13_neut,O15_neut,F17_neut,diag1,diag2,He3_cen,C12_cen,C13_cen,N14_cen,N15_cen,O16_cen,O17_cen,O18_cen,He3_sur,C12_sur,C13_sur,N14_sur,N15_sur,O16_sur,O17_sur,O18_sur,H2_sur,Li6_sur,Li7_sur,Be9_sur,X_sur,Y_sur,Z_sur,Z_X_sur,Jtot,KE_rot_tot,I_tot,I_cz,Omega_sur,Omega_cen,Prot_sur_d,Vrot_kms,TauCZ_s,MHshell_base,MHshell_mid,MHshell_top,RHshell_base,RHShell_mid,RHshell_top,logP_phot,Mass_msun,H_lum,Mass_input,Metallicity_input,Z_used,Age_input
280.1071608580016,389.10287477935066,0.75,-1.4303582111079998,-0.3480661331706389,4.8331830460092275,3.5777675007960728,0.031420889835154266,0.14708551770921377,0.2669475113919303,3799282.209009626,11.06054739667692,5663212793695338.0,18.295724154424974,6.944513314861911,1.8601692987801115,16.939888762473498,0.9998259654017129,-1.1575521239995157,0.7122896492999348,0.26850101793072545,0.017908723349518003,0.03745015327239116,3.825874383112736e-05,1.2070685565071106e-11,2.7792467434277477e-06,0.0,0.0,-0.0003323205775568409,0.0,0.014755220799752928,3.8343409018151746,0.31065981502407397,0.0006847205179946014,7.716696955319491e-08,0.00017106149836012795,7.828470561001318e-11,6.0017999063185965e-05,1.0932128946060584e-08,4.744536854806654e-10,0.08616246693360596,0.00017106149836012795,0.0013006094731644238,0.0030405943185225666,4.248193349815871e-05,0.0009036322750250497,0.0,0.008381662253541866,0.0,3.112388500227985e-06,7.911557880899565e-05,0.0030484157647807392,3.453512824615174e-05,0.0009030652795311241,0.0,0.008381662343989946,0.0,3.112388500227985e-06,0.0,0.0,0.0,7.439300893019178e-12,0.7165985432329317,0.2654136177978302,0.017908723349518003,0.025189575871344655,0.0,0.0,1.7447180365085476e+53,9.977896168298136e+52,0.0,0.0,0.0,0.0,3954011.916745406,0.0,0.0,0.0,0.0,0.0,0.0,5.558403864187702,0.5,0.03749119229305369,0.5,0.0,0.022917651,0.75
280.2283983232943,389.1373777864698,0.75,-1.4275020228853221,-0.34724004567251154,4.832322683500203,3.5780685040947326,0.031342370026150645,0.14660522165807646,0.26777980244949495,3793671.2413421925,10.993989473027463,5625723773402443.0,18.323329981769152,6.944876790292019,1.8602623954640098,16.940326987410128,0.9998255088023076,-1.158714220984885,0.7122482707973506,0.26854888954712913,0.017908723349518,0.037795355094919623,3.9256379815544574e-05,1.3347344568395789e-11,2.9451343223267097e-06,0.0,0.0,-0.00033106510878952596,0.0,0.0148757071491238,3.8634112597428767,0.3129897198491538,0.00068950151047508,7.78282016659824e-08,0.00017552635038139186,8.656924319497088e-11,6.297858753478469e-05,1.1628466790996364e-08,5.10552817688664e-10,0.08723642905096947,0.00017552635038139186,0.0012941163581797973,0.003039580988328824,4.3302862622798015e-05,0.0009039304325850089,0.0,0.00838166223470398,0.0,3.1123885002279847e-06,7.908222067896105e-05,0.0030484157647807392,3.453512824607208e-05,0.0009030652795311241,0.0,0.008381662343989944,0.0,3.1123885002279847e-06,0.0,0.0,0.0,8.555554055215398e-12,0.7165985765697005,0.2654136178178302,0.017908723349518,0.0251895746985963,0.0,0.0,1.753487294445811e+53,9.9852085884891e+52,0.0,0.0,0.0,0.0,3942763.7596371667,0.0,0.0,0.0,0.0,0.0,0.0,5.5579179911586944,0.501,0.037837557618875,0.501,0.0,0.022917651,0.75
280.34930347165204,389.1717994847568,0.75,-1.4246458965101145,-0.34641391405414446,4.831462232750678,3.5783694698712094,0.03126432526461131,0.14612516088748342,0.2686120099330345,3788061.5091625014,10.927436388941675,5588238913249846.0,18.35092498744942,6.945240201611459,1.8603543088094194,16.940764127380593,0.9998250517793469,-1.159878706686366,0.7122074253906279,0.2685962126499738,0.017908723349518003,0.038140489545149585,4.025411835094767e-05,1.4625959697716044e-11,3.1109424267761923e-06,0.0,0.0,-0.0003297934386967744,0.0,0.014996170863448512,3.8924772527557656,0.315319271445092,0.0006942807739353709,7.848942032397934e-08,0.00017999165798870248,9.486646770853436e-11,6.594198157583127e-05,1.2325203114935027e-08,5.466865737720437e-10,0.08831012152479102,0.00017999165798870248,0.001287638660846911,0.0030385800449222186,4.411531145862493e-05,0.0009042232713026659,0.0,0.00838166221610554,0.0,3.1123885002279847e-06,7.904913883618849e-05,0.0030484157647807392,3.453512824599291e-05,0.0009030652795311241,0.0,0.008381662343989946,0.0,3.1123885002279847e-06,0.0,0.0,0.0,9.671813625016157e-12,0.7165986096302022,0.2654136178378302,0.017908723349518003,0.025189573535187523,0.0,0.0,1.7622568839451225e+53,9.992532910955908e+52,0.0,0.0,0.0,0.0,3931519.528523028,0.0,0.0,0.0,0.0,0.0,0.0,5.557432089346779,0.5020000000000001,0.03818385559528086,0.502,0.0,0.022917651,0.75
280.46987976798704,389.2061407219803,0.75,-1.4217898313375217,-0.3455877387755587,4.830601694680699,3.5786703985167265,0.031186750597439514,0.145645332944275,0.2694441347139361,3782452.999588703,10.860888093959698,5550758169861718.0,18.37850928429818,6.945603549488683,1.8604450511544544,16.941200193697323,0.9998245943372469,-1.161045556197938,0.7121671075214263,0.26864299295835253,0.017908723349518003,0.03848555732554034,4.1251958368085705e-05,1.5906510557425103e-11,3.2766718854189432e-06,0.0,0.0,-0.00032850573620219484,0.0,0.015116612178732058,3.921538926364758,0.317648473494843,0.0006990583264031555,7.915062566747248e-08,0.0001844574164318781,1.0317624687005935e-10,6.890815193397114e-05,1.3022333763123206e-08,5.828545927239221e-10,0.08938354716651709,0.0001844574164318781,0.001281176220413154,0.0030375913591515393,4.4919368425626834e-05,0.0009045108466350905,0.0,0.008381662197744045,0.0,3.112388500227985e-06,7.901633039996042e-05,0.0030484157647807397,3.4535128245914194e-05,0.0009030652795311241,0.0,0.008381662343989946,0.0,3.112388500227985e-06,0.0,0.0,0.0,1.0788079535612375e-11,0.7165986424173173,0.26541361785783024,0.017908723349518003,0.02518957238102092,0.0,0.0,1.7710268015494392e+53,9.999869011599118e+52,0.0,0.0,0.0,0.0,3920279.1824684916,0.0,0.0,0.0,0.0,0.0,0.0,5.556946159052059,0.503,0.03853008692449199,0.503,0.0,0.022917651,0.75
280.5901306292097,389.2404023341647,0.75,-1.4189338267316232,-0.34476152029040213,4.829741070197559,3.5789712904170923,0.031109641140158184,0.1451657354092772,0.27027617765151474,3776845.6999174105,10.79434453832074,5513281500463157.0,18.406082983584664,6.94596683458288,1.860534634666298,16.94163519751603,0.999824136480363,-1.162214744958626,0.7121273117084105,0.26868923611212703,0.017908723349517996,0.038830559128819414,4.2249898812521e-05,1.718897703447472e-11,3.4423235154177845e-06,0.0,0.0,-0.0003272021678891471,0.0,0.015237031327709838,3.9505963254502663,0.3199773296303376,0.0007038341856563613,7.98118178348051e-08,0.00018892362102654553,1.1149845023150328e-10,7.187706976210865e-05,1.3719854638367054e-08,6.190565185387668e-10,0.09045670874864471,0.00018892362102654553,0.001274728878352964,0.0030366148036548245,4.571512071883029e-05,0.0009047932132710562,0.0,0.008381662179617036,0.0,3.112388500227985e-06,7.898379252946855e-05,0.0030484157647807397,3.4535128245835935e-05,0.0009030652795311241,0.0,0.008381662343989944,0.0,3.112388500227985e-06,0.0,0.0,0.0,1.190435172112053e-11,0.7165986749338866,0.26541361787783024,0.017908723349517996,0.025189571236000467,0.0,0.0,1.7797970438496137e+53,1.0007216768038552e+53,0.0,0.0,0.0,0.0,3909042.6811061655,0.0,0.0,0.0,0.0,0.0,0.0,5.556460200570484,0.504,0.03887625229900061,0.504,0.0,0.022917651,0.75
280.7100594250558,389.2745851457918,0.75,-1.416077882065278,-0.34393525904605965,4.828880360196029,3.579272145952785,0.031032992075725713,0.14468636589671557,0.2711081395932216,3771239.597620621,10.727805672951012,5475808862869811.0,18.433646195041923,6.94633005754414,1.8606230713441536,16.942069149838414,0.9998236782129898,-1.1633862487465443,0.7120880325459208,0.26873494767329414,0.017908723349518,0.03917549563815045,4.324793864437354e-05,1.847333929349887e-11,3.607898122653727e-06,0.0,0.0,-0.00032588289804112865,0.0,0.015357428539904098,3.9796494942730796,0.3223058434333645,0.0007086083692274728,8.047299696241049e-08,0.00019339026715300443,1.1983294914579883e-10,7.48487066114133e-05,1.4417761700038873e-08,6.552920001260845e-10,0.09152960900539373,0.00019339026715300443,0.0012682964783293934,0.003035650252828478,4.65026543294408e-05,0.0009050704251442998,0.0,0.008381662161722083,0.0,3.1123885002279843e-06,7.895152242312498e-05,0.0030484157647807397,3.453512824575815e-05,0.000903065279531124,0.0,0.008381662343989946,0.0,3.1123885002279843e-06,0.0,0.0,0.0,1.3020630116566708e-11,0.7165987071827113,0.26541361789783013,0.017908723349518,0.025189570100031464,0.0,0.0,1.7885676074835642e+53,1.0014576059583623e+53,0.0,0.0,0.0,0.0,3897809.9846259695,0.0,0.0,0.0,0.0,0.0,0.0,5.555974214193914,0.505,0.03922235240173834,0.505,0.0,0.022917651,0.75
280.8296694788985,389.3086899699997,0.75,-1.4132219967199737,-0.34310895548376064,4.828019565558568,3.579572965499052,0.030956798653376163,0.14420722205364028,0.27194002137484824,3765634.6803427003,10.661271449451911,5438340215477724.0,18.461199026893237,6.946693219013613,1.8607103730221315,16.942502061514794,0.9998232195393632,-1.1645600436730679,0.7120492647026715,0.268780133127326,0.017908723349518,0.039520367527297755,4.424607683807059e-05,1.9759577772038126e-11,3.7733965019199964e-06,0.0,0.0,-0.0003245480886813284,0.0,0.015477804041679179,4.008698476485026,0.32463401843643147,0.000713380894407752,8.113416318484481e-08,0.00019785735025511502,1.281796167358805e-10,7.782303442447025e-05,1.5116050963104288e-08,6.915606912258904e-10,0.09260225063336482,0.00019785735025511502,0.0012618788661564722,0.0030346975827970336,4.728205406554654e-05,0.0009053425354465056,0.0,0.008381662144056798,0.0,3.112388500227985e-06,7.891951731788762e-05,0.0030484157647807397,3.4535128245680826e-05,0.0009030652795311241,0.0,0.008381662343989946,0.0,3.112388500227985e-06,0.0,0.0,0.0,1.4136914657870926e-11,0.7165987391665546,0.2654136179178302,0.017908723349518,0.025189568973020517,0.0,0.0,1.797338489135468e+53,1.0021946767204277e+53,0.0,0.0,0.0,0.0,3886581.053765557,0.0,0.0,0.0,0.0,0.0,0.0,5.555488200210202,0.506,0.03956838790624065,0.506,0.0,0.022917651,0.75
280.9489640685427,389.3427176087774,0.75,-1.4103661700856778,-0.34228261003868476,4.827158687155537,3.5798737494259902,0.03088105618748336,0.1437283015593639,0.27277182382072623,3760030.935897426,10.594741820088446,5400875517253394.0,18.488741585877975,6.94705631962365,1.8607965513720792,16.94293394324673,0.9998227604636608,-1.165736106177118,0.7120110029204768,0.26882479788448094,0.017908723349518,0.03986517546078737,4.524431238210146e-05,2.1047673175862213e-11,3.938819437112076e-06,0.0,0.0,-0.00032319789961136647,0.0,0.015598158056295646,4.037743315139399,0.3269618581236109,0.000718151778251373,8.179531663481925e-08,0.00020232486583920853,1.3653832786434783e-10,8.080002552857178e-05,1.5814718497169425e-08,7.278622503259167e-10,0.09367463629218456,0.00020232486583920853,0.0012554758897623372,0.0030337566713835337,4.8053403572396024e-05,0.0009056095966400242,0.0,0.00838166212661881,0.0,3.1123885002279847e-06,7.888777448859971e-05,0.0030484157647807392,3.453512824560395e-05,0.0009030652795311241,0.0,0.008381662343989946,0.0,3.1123885002279847e-06,0.0,0.0,0.0,1.525320528183184e-11,0.7165987708881412,0.2654136179378302,0.017908723349518,0.02518956785487549,0.0,0.0,1.8061096855349646e+53,1.0029328773502525e+53,0.0,0.0,0.0,0.0,3875355.84980092,0.0,0.0,0.0,0.0,0.0,0.0,5.55500215890324,0.507,0.03991435947680784,0.507,0.0,0.022917651,0.75
281.0679464270035,389.3766688531548,0.75,-1.4075104015606945,-0.34145622314006496,4.826297725845399,3.5801744980986427,0.03080576005644825,0.14324960212491028,0.2736035477439231,3754428.3522650963,10.528216737777905,5363414727724021.0,18.516273977276974,6.947419359997967,1.8608816179063539,16.943364805589535,0.9998223009900036,-1.1669144130195674,0.7119732420130015,0.26886894728108823,0.017908723349518,0.04020992009406483,4.624264427877736e-05,2.233760647438849e-11,4.104167701413841e-06,0.0,0.0,-0.00032183248844924083,0.0,0.0157184908039633,4.066784052701189,0.3292893659313666,0.000722921037579472,8.245645744323156e-08,0.00020679280947302043,1.4490895910375098e-10,8.37796526291462e-05,1.6513760425547594e-08,7.641963405805189e-10,0.09474676860513677,0.00020679280947302043,0.0012490873991531251,0.003032827398080517,4.881678535226035e-05,0.0009058716604703305,0.0,0.008381662109405797,0.0,3.1123885002279847e-06,7.885629124734256e-05,0.0030484157647807397,3.453512824552752e-05,0.0009030652795311241,0.0,0.008381662343989946,0.0,3.1123885002279847e-06,0.0,0.0,0.0,1.636950192611172e-11,0.7165988023501585,0.26541361795783014,0.017908723349518,0.025189566745505525,0.0,0.0,1.8148811934563836e+53,1.0036721962684575e+53,0.0,0.0,0.0,0.0,3864134.3345372025,0.0,0.0,0.0,0.0,0.0,0.0,5.554516090553053,0.508,0.04026026776866286,0.508,0.0,0.022917651,0.75
281.1866197432688,389.4105444833899,0.75,-1.4046546905515216,-0.34062979521128894,4.825436682474932,3.5804752118770824,0.030730905701609034,0.14277112149247465,0.27443519394643384,3748826.9175896947,10.461696156078752,5325957806967968.0,18.543796304937345,6.947782340751784,1.8609655839805375,16.943794658954793,0.9998218411224559,-1.1680949412777621,0.7119359768645386,0.2689125865808068,0.017908723349518003,0.040554602073649824,4.724107154399604e-05,2.362935889619396e-11,4.269442057479902e-06,0.0,0.0,-0.0003204520106664974,0.0,0.015838802501893106,4.095820731057097,0.3316165452493647,0.0007276886889841141,8.311758573919694e-08,0.0002112611767846451,1.5329138870748264e-10,8.676188880332095e-05,1.721317292434508e-08,8.005626297312373e-10,0.09581865015978126,0.0002112611767846451,0.0012427132463775986,0.0030319096440216023,4.9572280783889526e-05,0.0009061287779782259,0.0,0.008381662092415455,0.0,3.112388500227985e-06,7.882506494280178e-05,0.0030484157647807397,3.453512824545153e-05,0.0009030652795311241,0.0,0.008381662343989944,0.0,3.112388500227985e-06,0.0,0.0,0.0,1.7485804529221765e-11,0.7165988335552584,0.26541361797783025,0.017908723349518003,0.025189565644821003,0.0,0.0,1.8236530097179816e+53,1.0044126220533527e+53,0.0,0.0,0.0,0.0,3852916.4702996844,0.0,0.0,0.0,0.0,0.0,0.0,5.554029995435848,0.509,0.040606113428105786,0.509,0.0,0.022917651,0.75
