 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1189  0.8000  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1      12      2.15957367E-04  3.54989806E+00  3.40866632E+00  3.63258571E+00  8.00000000E-01  1.43740000E-10  7.11660206E-01  1.74883878E+55  1.74883878E+55  1.51789221E+07  0.00000000E+00  2.14909835E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.58973931E+50  0.00000000E+00  1.58973931E+50  8.98093544E-01  4.99857367E+00  7.15250277E-12
   1      13      2.17367996E-04  3.53798613E+00  3.40279710E+00  3.63259499E+00  8.00000000E-01  1.43740000E-10  7.11660198E-01  1.74296674E+55  1.74296674E+55  1.51440906E+07  0.00000000E+00  2.15615000E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.58440148E+50  0.00000000E+00  1.58440148E+50  8.98411791E-01  5.00676765E+00  7.12850205E-12
   1      14      2.18771432E-04  3.52627552E+00  3.39701782E+00  3.63260413E+00  8.00000000E-01  1.43740000E-10  7.11660189E-01  1.73719384E+55  1.73719384E+55  1.51091777E+07  0.00000000E+00  2.16312113E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.57915376E+50  0.00000000E+00  1.57915376E+50  8.98725201E-01  5.01485491E+00  7.10490695E-12
   1      15      2.20168481E-04  3.51475662E+00  3.39132370E+00  3.63261318E+00  8.00000000E-01  1.43740000E-10  7.11660181E-01  1.73151488E+55  1.73151488E+55  1.50741846E+07  0.00000000E+00  2.17001592E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.57399144E+50  0.00000000E+00  1.57399144E+50  8.99034028E-01  5.02284079E+00  7.08169812E-12
   1      16      2.21559797E-04  3.50342039E+00  3.38571082E+00  3.63262212E+00  8.00000000E-01  1.43740000E-10  7.11660172E-01  1.72592557E+55  1.72592557E+55  1.50390821E+07  0.00000000E+00  2.17683820E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.56891062E+50  0.00000000E+00  1.56891062E+50  8.99338482E-01  5.03073021E+00  7.05885736E-12
   1      17      2.22946012E-04  3.49226005E+00  3.38017513E+00  3.63263103E+00  8.00000000E-01  1.43740000E-10  7.11660163E-01  1.72042162E+55  1.72042162E+55  1.50039048E+07  0.00000000E+00  2.18359072E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.56390738E+50  0.00000000E+00  1.56390738E+50  8.99638779E-01  5.03852679E+00  7.03637098E-12
   1      18      2.24327611E-04  3.48126574E+00  3.37471420E+00  3.63263978E+00  8.00000000E-01  1.43740000E-10  7.11660153E-01  1.71500014E+55  1.71500014E+55  1.49686226E+07  0.00000000E+00  2.19027789E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.55897912E+50  0.00000000E+00  1.55897912E+50  8.99935048E-01  5.04623606E+00  7.01421912E-12
   1      19      2.25705438E-04  3.47042978E+00  3.36932344E+00  3.63264845E+00  8.00000000E-01  1.43740000E-10  7.11660144E-01  1.70965629E+55  1.70965629E+55  1.49332528E+07  0.00000000E+00  2.19690319E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.55412142E+50  0.00000000E+00  1.55412142E+50  9.00227535E-01  5.05386239E+00  6.99238633E-12
   1      20      2.27079906E-04  3.45974696E+00  3.36400016E+00  3.63265706E+00  8.00000000E-01  1.43740000E-10  7.11660134E-01  1.70438717E+55  1.70438717E+55  1.48977864E+07  0.00000000E+00  2.20346867E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.54933166E+50  0.00000000E+00  1.54933166E+50  9.00516383E-01  5.06140853E+00  6.97086206E-12
   1      21      2.28451491E-04  3.44920961E+00  3.35874206E+00  3.63266555E+00  8.00000000E-01  1.43740000E-10  7.11660124E-01  1.69919013E+55  1.69919013E+55  1.48622295E+07  0.00000000E+00  2.20997774E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.54460742E+50  0.00000000E+00  1.54460742E+50  9.00801714E-01  5.06887874E+00  6.94963090E-12
