 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1  763  0.3000  3.3574
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1      12      6.89835498E-04  3.26040511E-01  1.60922877E+00  3.53633298E+00  3.00000000E-01  1.43740000E-10  7.11660226E-01  1.45872163E+54  1.45872163E+54  1.44153068E+07  0.00000000E+00  4.39885412E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.15964688E+49  0.00000000E+00  0.00000000E+00  8.67534727E-01  7.15134504E+00  6.56921866E-13
   1      13      6.93822188E-04  3.25020284E-01  1.60689998E+00  3.53630718E+00  3.00000000E-01  1.43740000E-10  7.11660219E-01  1.45464265E+54  1.45464265E+54  1.43832993E+07  0.00000000E+00  4.40482400E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.15081165E+49  0.00000000E+00  0.00000000E+00  8.67835279E-01  7.15619609E+00  6.54866265E-13
   1      14      6.97802464E-04  3.24013524E-01  1.60459746E+00  3.53628172E+00  3.00000000E-01  1.43740000E-10  7.11660212E-01  1.45061496E+54  1.45061496E+54  1.43511857E+07  0.00000000E+00  4.41073738E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.14208752E+49  0.00000000E+00  0.00000000E+00  8.68132615E-01  7.16099800E+00  6.52837797E-13
   1      15      7.01776734E-04  3.23032069E-01  1.60232113E+00  3.53626061E+00  3.00000000E-01  1.43740000E-10  7.11660204E-01  1.44663808E+54  1.44663808E+54  1.43188118E+07  0.00000000E+00  4.41662046E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.13347345E+49  0.00000000E+00  0.00000000E+00  8.68426742E-01  7.16577211E+00  6.50860315E-13
   1      16      7.05742176E-04  3.22063891E-01  1.60007199E+00  3.53623973E+00  3.00000000E-01  1.43740000E-10  7.11660197E-01  1.44271373E+54  1.44271373E+54  1.42863741E+07  0.00000000E+00  4.42244438E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.12497315E+49  0.00000000E+00  0.00000000E+00  8.68717523E-01  7.17049508E+00  6.48909585E-13
   1      17      7.09704746E-04  3.21104305E-01  1.59784635E+00  3.53621801E+00  3.00000000E-01  1.43740000E-10  7.11660189E-01  1.43883551E+54  1.43883551E+54  1.42538491E+07  0.00000000E+00  4.42821144E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.11657278E+49  0.00000000E+00  0.00000000E+00  8.69005428E-01  7.17516888E+00  6.46976164E-13
   1      18      7.13667031E-04  3.20145780E-01  1.59564236E+00  3.53619315E+00  3.00000000E-01  1.43740000E-10  7.11660182E-01  1.43500054E+54  1.43500054E+54  1.42213034E+07  0.00000000E+00  4.43390966E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.10826609E+49  0.00000000E+00  0.00000000E+00  8.69290690E-01  7.17978389E+00  6.45044884E-13
   1      19      7.17633016E-04  3.19207224E-01  1.59345823E+00  3.53617182E+00  3.00000000E-01  1.43740000E-10  7.11660174E-01  1.43120434E+54  1.43120434E+54  1.41885084E+07  0.00000000E+00  4.43958975E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.10004337E+49  0.00000000E+00  0.00000000E+00  8.69573537E-01  7.18438128E+00  6.43153835E-13
   1      20      7.21595838E-04  3.18285350E-01  1.59129749E+00  3.53615246E+00  3.00000000E-01  1.43740000E-10  7.11660166E-01  1.42745305E+54  1.42745305E+54  1.41555753E+07  0.00000000E+00  4.44523218E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.09191794E+49  0.00000000E+00  0.00000000E+00  8.69853505E-01  7.18894527E+00  6.41296401E-13
   1      21      7.25558428E-04  3.17373965E-01  1.58915827E+00  3.53613323E+00  3.00000000E-01  1.43740000E-10  7.11660158E-01  1.42374368E+54  1.42374368E+54  1.41225540E+07  0.00000000E+00  4.45082880E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.08388330E+49  0.00000000E+00  0.00000000E+00  8.70130833E-01  7.19346935E+00  6.39460098E-13
