 LOG ABUND   0.00000000E+00
 LOG TEFF:
  3.54406804E+00  3.57403127E+00  3.60205999E+00  3.62838893E+00
  3.65321251E+00  3.67669361E+00  3.69897000E+00  3.72015930E+00
  3.74036269E+00  3.75966784E+00  3.77815125E+00  3.79588002E+00
  3.81291336E+00  3.82930377E+00  3.84509804E+00  3.86033801E+00
  3.87506126E+00  3.88930170E+00  3.90308999E+00  3.91645395E+00
  3.92941893E+00  3.94200805E+00  3.95424251E+00  3.96614173E+00
  3.97772361E+00  3.98900462E+00  4.00000000E+00  4.01072387E+00
  4.02118930E+00  4.03140846E+00  4.04139269E+00  4.05115252E+00
  4.06069784E+00  4.07003787E+00  4.07918125E+00  4.08813609E+00
  4.09691001E+00  4.10551018E+00  4.11394335E+00  4.14612804E+00
  4.17609126E+00  4.20411998E+00  4.23044892E+00  4.25527251E+00
  4.27875360E+00  4.30103000E+00  4.32221929E+00  4.34242268E+00
  4.36172784E+00  4.38021124E+00  4.39794001E+00  4.41497335E+00
  4.43136376E+00  4.44715803E+00  4.46239800E+00  4.47712125E+00
  4.49136169E+00  4.50514998E+00  4.51851394E+00  4.53147892E+00
  4.54406804E+00  4.55630250E+00  4.56820172E+00  4.57978360E+00
  4.59106461E+00  4.60205999E+00  4.61278386E+00  4.62324929E+00
  4.63346846E+00  4.64345268E+00  4.65321251E+00  4.66275783E+00
  4.67209786E+00  4.68124124E+00  4.69019608E+00  4.69897000E+00
 LOG G:
  0.00000000E+00  5.00000000E-01  1.00000000E+00  1.50000000E+00
  2.00000000E+00  2.50000000E+00  3.00000000E+00  3.50000000E+00
  4.00000000E+00  4.50000000E+00  5.00000000E+00
 LOG PRESSURE:
  2.51809907E+00  2.80446815E+00  3.08182263E+00  3.34804106E+00
  3.60682154E+00  3.85745287E+00  4.10278320E+00  4.34597254E+00
  4.58658075E+00  4.84569597E+00  5.10405922E+00
  2.50326276E+00  2.80809808E+00  3.10728669E+00  3.40226150E+00
  3.69235849E+00  3.97814250E+00  4.25843906E+00  4.53234386E+00
  4.79998541E+00  5.03370619E+00  5.25921726E+00
  2.43248653E+00  2.73972654E+00  3.04582524E+00  3.35156107E+00
  3.65603399E+00  3.95845366E+00  4.25753784E+00  4.55180788E+00
  4.83632946E+00  5.10979605E+00  5.35635757E+00
  2.38402915E+00  2.67961287E+00  2.97707009E+00  3.27875495E+00
  3.58394837E+00  3.89268684E+00  4.20241594E+00  4.51016235E+00
  4.81226683E+00  5.10758305E+00  5.38255596E+00
  2.37371063E+00  2.65581751E+00  2.93893361E+00  3.22660589E+00
  3.52055001E+00  3.82151461E+00  4.12653255E+00  4.43478584E+00
  4.74295092E+00  5.04892254E+00  5.35028219E+00
  2.38193774E+00  2.66055059E+00  2.93517709E+00  3.21128798E+00
  3.49228549E+00  3.78038526E+00  4.07447529E+00  4.37152863E+00
  4.67324781E+00  4.97694111E+00  5.28191948E+00
  2.38218141E+00  2.67098618E+00  2.94956160E+00  3.22390318E+00
  3.49781275E+00  3.77493215E+00  4.05741215E+00  4.34271574E+00
  4.63211536E+00  4.92608976E+00  5.22374058E+00
  2.34379244E+00  2.65149593E+00  2.94414449E+00  3.22766495E+00
  3.50536633E+00  3.78061509E+00  4.05732203E+00  4.33440447E+00
  4.61436939E+00  4.89781237E+00  5.18563700E+00
  2.26448178E+00  2.59471273E+00  2.90649962E+00  3.20548749E+00
  3.49523902E+00  3.77809167E+00  4.05747557E+00  4.33333731E+00
  4.60948706E+00  4.88631868E+00  5.16618586E+00
  2.14971876E+00  2.50274110E+00  2.83458233E+00  3.15142059E+00
  3.45648265E+00  3.75254750E+00  4.04167271E+00  4.32435465E+00
  4.60365772E+00  4.88005114E+00  5.15686464E+00
  2.00940108E+00  2.38383818E+00  2.73375344E+00  3.06743002E+00
  3.38867378E+00  3.69983125E+00  4.00206137E+00  4.29651499E+00
  4.58447504E+00  4.86661768E+00  5.14601946E+00
 -9.99000000E+02  2.24769425E+00  2.61314869E+00  2.96085572E+00
  3.29631543E+00  3.62179518E+00  3.93810225E+00  4.24623919E+00
  4.54642916E+00  4.83872557E+00  5.12535858E+00
 -9.99000000E+02  2.09798980E+00  2.48079944E+00  2.84004331E+00
  3.18680692E+00  3.52422214E+00  3.85330629E+00  4.17468452E+00
  4.48779106E+00  4.79282427E+00  5.09010935E+00
 -9.99000000E+02  1.93092382E+00  2.33815289E+00  2.71112990E+00
  3.06673908E+00  3.41379285E+00  3.75327420E+00  4.08609819E+00
  4.41127396E+00  4.72922373E+00  5.03878880E+00
 -9.99000000E+02  1.73997521E+00  2.17978024E+00  2.57300496E+00
  2.94041729E+00  3.29514122E+00  3.64363933E+00  3.98555040E+00
  4.32152891E+00  4.65097189E+00  4.97191095E+00
 -9.99000000E+02  1.51193881E+00  2.00290966E+00  2.42071009E+00
  2.80617809E+00  3.17124724E+00  3.52704716E+00  3.87754607E+00
  4.22284508E+00  4.56193542E+00  4.89352179E+00
 -9.99000000E+02  1.19799066E+00  1.79943931E+00  2.25229955E+00
  2.65793824E+00  3.04002833E+00  3.40560031E+00  3.76423669E+00
  4.11809540E+00  4.46573877E+00  4.80699062E+00
 -9.99000000E+02 -9.99000000E+02  1.55812716E+00  2.05964518E+00
  2.49178386E+00  2.89394140E+00  3.27747440E+00  3.64558482E+00
  4.00750542E+00  4.36420107E+00  4.71443367E+00
 -9.99000000E+02 -9.99000000E+02  1.27538490E+00  1.85463071E+00
  2.31612921E+00  2.74044037E+00  3.13943720E+00  3.52288485E+00
  3.89367414E+00  4.25897884E+00  4.61787081E+00
 -9.99000000E+02 -9.99000000E+02  9.41603899E-01  1.63029718E+00
  2.12689161E+00  2.56749940E+00  2.98350692E+00  3.38430214E+00
  3.77340460E+00  4.14786768E+00  4.51572323E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  1.40693915E+00
  1.93340170E+00  2.39286208E+00  2.82400918E+00  3.23855090E+00
  3.64130759E+00  4.03069210E+00  4.40857744E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  1.22904837E+00
  1.75718427E+00  2.22195721E+00  2.66197896E+00  3.08783960E+00
  3.50304794E+00  3.90744662E+00  4.29796076E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  1.11826122E+00
  1.62342215E+00  2.07590556E+00  2.51028109E+00  2.93800664E+00
  3.36130238E+00  3.77759600E+00  4.18259859E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.53726697E+00  1.96702325E+00  2.38616180E+00  2.80492997E+00
  3.22551274E+00  3.64605522E+00  4.06162882E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.49191427E+00  1.89445877E+00  2.29214096E+00  2.69617748E+00
  3.10755014E+00  3.52373290E+00  3.94155526E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.47449434E+00  1.85379827E+00  2.22694397E+00  2.61150813E+00
  3.00989056E+00  3.41781163E+00  3.83147526E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.47327495E+00  1.83748269E+00  2.18790102E+00  2.55007267E+00
  2.93156242E+00  3.32822156E+00  3.73523641E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.48169303E+00  1.83712816E+00  2.17076039E+00  2.51119447E+00
  2.87175870E+00  3.25390434E+00  3.65201211E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.49504936E+00  1.84678924E+00  2.16917372E+00  2.49191976E+00
  2.83150768E+00  3.19525933E+00  3.58093572E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.51126707E+00  1.86181808E+00  2.17748117E+00  2.48718143E+00
  2.80833030E+00  3.15247583E+00  3.52278113E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.52847445E+00  1.87976205E+00  2.19162965E+00  2.49238896E+00
  2.79900908E+00  3.12462592E+00  3.47735667E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.54608583E+00  1.89914310E+00  2.20896339E+00  2.50376892E+00
  2.80008173E+00  3.11000490E+00  3.44470215E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.56334448E+00  1.91984725E+00  2.22901177E+00  2.52028370E+00
  2.80889177E+00  3.10606909E+00  3.42429328E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.58011115E+00  1.94095194E+00  2.25047350E+00  2.53944254E+00
  2.82272959E+00  3.11049700E+00  3.41476560E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  1.96219742E+00  2.27289557E+00  2.56047869E+00
  2.84024000E+00  3.12138963E+00  3.41418958E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  1.98319685E+00  2.29544759E+00  2.58244538E+00
  2.85973406E+00  3.13582039E+00  3.42019749E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.00378346E+00  2.31782413E+00  2.60481286E+00
  2.88042283E+00  3.15314579E+00  3.43097305E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.02340174E+00  2.33984280E+00  2.62728691E+00
  2.90186882E+00  3.17190719E+00  3.44500518E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.04203176E+00  2.36136746E+00  2.64967942E+00
  2.92383265E+00  3.19209862E+00  3.46159744E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  1.66408849E+00  2.10511160E+00  2.44110084E+00  2.73562741E+00
  3.01140118E+00  3.27724171E+00  3.53964949E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.14871073E+00  2.50618172E+00  2.81024718E+00
  3.09098625E+00  3.35866261E+00  3.61949635E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.17516232E+00  2.55808878E+00  2.87320924E+00
  3.15978408E+00  3.43171620E+00  3.69420290E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.18415499E+00  2.59830213E+00  2.92608237E+00
  3.21822071E+00  3.49468946E+00  3.76020455E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.17236638E+00  2.62754321E+00  2.97081614E+00
  3.26833415E+00  3.54875898E+00  3.81787515E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  2.14427090E+00  2.64721227E+00  3.00703692E+00
  3.31090808E+00  3.59468389E+00  3.86824656E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.65702367E+00  3.03582025E+00
  3.34756923E+00  3.63512230E+00  3.91268873E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.66200924E+00  3.06056356E+00
  3.38138127E+00  3.67255664E+00  3.95133662E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.66333294E+00  3.08126545E+00
  3.41175938E+00  3.70628428E+00  3.98565221E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.65582681E+00  3.09803677E+00
  3.43881249E+00  3.73776984E+00  4.01784134E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.63329434E+00  3.11074138E+00
  3.46304250E+00  3.76740599E+00  4.04951906E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.58880687E+00  3.11687374E+00
  3.48319077E+00  3.79324412E+00  4.07740211E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02  2.51698399E+00  3.11343288E+00
  3.49717164E+00  3.81396365E+00  4.10057402E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  3.09781432E+00
  3.50434303E+00  3.82991552E+00  4.12058878E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  3.07157016E+00
  3.50431705E+00  3.84063673E+00  4.13632536E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  3.03645539E+00
  3.49721718E+00  3.84566402E+00  4.14749336E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  2.99394274E+00
  3.48412704E+00  3.84541464E+00  4.15401173E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02  2.94925642E+00
  3.46711564E+00  3.84109259E+00  4.15672493E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.44736409E+00  3.83438349E+00  4.15635252E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.42937469E+00  3.82532716E+00  4.15374613E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.41545939E+00  3.81782627E+00  4.15085506E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.40657330E+00  3.81270599E+00  4.14874172E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.40263247E+00  3.81170774E+00  4.14891434E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.40223575E+00  3.81586075E+00  4.15301847E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.40354466E+00  3.82455134E+00  4.16152906E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
  3.40447474E+00  3.83553028E+00  4.17375326E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  3.84714103E+00  4.18833685E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
 -9.99000000E+02  3.85946059E+00  4.20426226E+00
 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02 -9.99000000E+02
